Age,Deaths,Exposures
0,8674,100958
1,1592,466275
5,618,624134
10,411,559559
15,755,446736
20,1098,370653
25,1100,301862
30,1357,249409
35,1335,247473
40,3257,223014
45,2200,172260
50,4023,149338
55,2167,127242
60,4578,105715
65,2956,79614
70,4212,53660
75,2887,31021
80,2351,16805
85,1500,8000
90,900,4000
95,500,2000
100,300,1000
