Deaths,Exposures,Age,AgeInt,Sex
8674,100958,0,1,Male
1592,466275,1,4,Male
618,624134,5,5,Male
411,559559,10,5,Male
755,446736,15,5,Male
1098,370653,20,5,Male
1100,301862,25,5,Male
1357,249409,30,5,Male
1335,247473,35,5,Male
3257,223014,40,5,Male
2200,172260,45,5,Male
4023,149338,50,5,Male
2167,127242,55,5,Male
4578,105715,60,5,Male
2956,79614,65,5,Male
4212,53660,70,5,Male
2887,31021,75,5,Male
2351,16805,80,5,Male
1500,8000,85,5,Male
900,4000,90,5,Male
500,2000,95,5,Male
300,1000,100,NA,Male
